row_id,assoc_id,evidence_level,source_url_override,evidence_detail,url_fix_reason
5,assoc_0005,literature,,"Needs-check reference audit (2026-06): Verdict holds. Aeria (Tithoreina) is a genuine Apocynaceae-feeding ithomiine clade and Prestonia (Apocynaceae) is the canonical larval host of A. eurimedia agna, so the association is taxonomically coherent, not atypical (no Passifloraceae ",
6,assoc_0006,literature,,"Needs-check reference audit (2026-06): Aeria is a bona fide Apocynaceae-feeding ithomiine; Prestonia plausible. Embedded Haber p.c. 1998 (Ovip.) + Muyshondt p.c. are unpublished personal communications, but reported within the peer-reviewed Beccaloni catalogue, so catalogue-leve",
15,assoc_0015,literature,,"Needs-check reference audit (2026-06): Catalogue-mediated (Beccaloni 2008) with D&B 1987 embedded in source_refs (Costa Rica, ssp. hezia). D&B is a real authoritative Ithomiini foodplant source; Callithomia on Solanum is canonical. No rearing/oviposition text in the row, so not ",
16,assoc_0016,literature,,Needs-check reference audit (2026-06): Verdict holds. Callithomia lenea on Solanum (Solanaceae) is canonical Ithomiini/Solanaceae host (plausible; no Passifloraceae issue). Record reaches us via Beccaloni et al. 2008 catalogue (a compilation) with embedded real primary citations,
21,assoc_0021,literature,,"Needs-check reference audit (2026-06): Ceratinia is a typical Solanaceae feeder; Solanum sp. plausible. Source is Freitas p.c. 1997 (Brazil) within Beccaloni catalogue = catalogue-level 'literature', genus-only host. Plausible marker (filled circle). Medium confidence appropriat",
23,assoc_0023,literature,,"Needs-check reference audit (2026-06): D&B 1987 (Brazil, Para) via Beccaloni; Solanum subg. Leptostemonum to genus only. Ceratinia on Solanum canonical. No primary feeding text in row, so literature not direct. Holds. Solanaceae, not Passifloraceae.",
26,assoc_0026,literature,,"Needs-check reference audit (2026-06): Ceratinia tutia on Solanum is taxonomically typical for Ithomiini. Freitas p.c. 1997 catalogue record, plausible marker, genus-level host. 'literature'/medium correct. First-pass holds.",
27,assoc_0027,literature,,Needs-check reference audit (2026-06): Ceratinia tutia (Ithomiini) on Solanum (Solanaceae) is a canonical host-family association; not atypical. Source trail in the data file is real authoritative literature accessed via the Beccaloni 2008 catalogue: Costa Rica [DeVries 1987]; N,
28,assoc_0028,literature,,"Needs-check reference audit (2026-06): D&B 1987 (Venezuela, ssp. tutia) via Beccaloni, Solanum sect. Geminata to genus. Genus-level plausibility independently corroborated by a separate Muriel et al. 2011 reared record for C. tutia on Solanum aphyodendron in the literature suppl",
33,assoc_0033,literature,,"Needs-check reference audit (2026-06): D&B 1987 (Ecuador, ssp. lorica) via Beccaloni. Dircenna on Solanum canonical; 'nr asperum' provisional. Catalogue-mediated, no rearing text, so literature not direct. Holds. Solanaceae.",
34,assoc_0034,literature,,"Needs-check reference audit (2026-06): D&B 1987 (Venezuela, ssp. marica) via Beccaloni. Dircenna on Solanum canonical; 'nr hazenii' provisional. Literature/medium holds. Solanaceae, not Passifloraceae.",
40,assoc_0040,literature,,"Needs-check reference audit (2026-06): Dircenna dero (Dircennina) on Solanum is textbook Ithomiini-Solanaceae biology, not Passifloraceae, so no atypical flag. Source is Beccaloni et al. 2008 (legitimate peer-reviewed catalogue) with an embedded real primary citation, Fonseca & ",
61,assoc_0061,literature,,Needs-check reference audit (2026-06): D&B 1987 (Costa Rica) via Beccaloni. D. klugii on Solanum well-attested; 'nr rugosum' provisional. Underlying row confidence is 'high' but catalogue-mediated genus-imprecise species warrants medium. First-pass medium is appropriately cautio,
